id,question,label,subtopic,language,source,group_id,review_status
calc_0095,"Prove, using the ε–δ definition, that f(x) = x^2 is continuous at every real number a.",CALCULUS,continuity,en,synthetic,cont_epsilon_delta_square_01,pending
calc_0096,"Let f(x) = x sin(1/x) for x ≠ 0 and f(0) = 0. Show that f is continuous at x = 0.",CALCULUS,continuity,en,synthetic,cont_x_sin_reciprocal_01,pending
calc_0097,"The function f is defined by f(x) = sin(x)/x for x ≠ 0. How should f(0) be defined so that f is continuous at 0?",CALCULUS,continuity,en,synthetic,cont_removable_sinc_01,pending
calc_0098,"Suppose f is continuous on [a, b] and f(x) is a rational number for every x in [a, b]. Show that f is constant.",CALCULUS,continuity,en,synthetic,cont_rational_valued_constant_01,pending
calc_0099,"A hiker starts at the bottom of a mountain at 6:00 a.m. and walks up a single trail, reaching the summit at 6:00 p.m. The next day she starts at the summit at 6:00 a.m., walks down the same trail, and reaches the bottom at 6:00 p.m. Prove that there is a time of day at which she is at exactly the same point of the trail on both days.",CALCULUS,continuity,en,synthetic,cont_ivt_hiker_01,pending
calc_0100,"Let f be continuous on [0, 1] with f(0) = 0 and f(1) = 1. Show that there is a point c in [0, 1] with f(c) = 1 - c.",CALCULUS,continuity,en,synthetic,cont_ivt_intersection_01,pending
calc_0101,"Show that every polynomial of odd degree has at least one real root.",CALCULUS,continuity,en,synthetic,cont_ivt_odd_degree_01,pending
calc_0102,"Find all real numbers at which f(x) = tan(x) is discontinuous.",CALCULUS,continuity,en,synthetic,cont_tan_discontinuities_01,pending
calc_0103,"Let f(x) = ⌊x⌋ denote the greatest integer less than or equal to x. At which real numbers is f continuous?",CALCULUS,continuity,en,synthetic,cont_floor_function_01,pending
calc_0104,"Define h(x) = x if x is rational and h(x) = 0 if x is irrational. At which real numbers is h continuous? Justify your answer.",CALCULUS,continuity,en,synthetic,cont_rational_irrational_split_01,pending
calc_0105,"State the Extreme Value Theorem and use it to explain why f(x) = x e^(-x^2) attains both a maximum and a minimum value on the interval [-3, 3].",CALCULUS,continuity,en,synthetic,cont_extreme_value_theorem_01,pending
calc_0106,"Suppose f and g are continuous at a. Prove that f + g is continuous at a.",CALCULUS,continuity,en,synthetic,cont_sum_of_continuous_01,pending
calc_0107,"Find constants a and b such that f(x) = 2x + a for x < 0, f(x) = ax + b for 0 ≤ x ≤ 1, and f(x) = 3x + b for x > 1 is continuous on the whole real line.",CALCULUS,continuity,en,synthetic,cont_three_piece_constants_01,pending
calc_0108,"Give an example of a function defined on [0, 1] that is continuous on (0, 1) but unbounded on [0, 1].",CALCULUS,continuity,en,synthetic,cont_unbounded_example_01,pending
calc_0109,"Use the Intermediate Value Theorem to show that the equation e^x = 3 - x has a solution in the interval [0, 1].",CALCULUS,continuity,en,synthetic,cont_ivt_exp_equation_01,pending
calc_0110,"The temperature in a city varies continuously with time. If it was 5 degrees Celsius at midnight and 21 degrees Celsius at noon the same day, must there have been a moment during that period when it was exactly 12 degrees Celsius? Explain.",CALCULUS,continuity,en,synthetic,cont_ivt_temperature_01,pending
calc_0111,"Show that f(x) = |x| is continuous at every real number.",CALCULUS,continuity,en,synthetic,cont_absolute_value_01,pending
calc_0112,"Show that x^3 - 6x + 2 = 0 has three distinct real solutions by evaluating the left side at x = -3, 0, 1, and 3.",CALCULUS,continuity,en,synthetic,cont_ivt_three_roots_01,pending
calc_0113,"A student differentiates y = (3x^2 + 1)^5 by first expanding the fifth power. Use the chain rule instead to find dy/dx, and simplify your answer.",CALCULUS,derivatives,en,synthetic,der_chain_power_01,pending
calc_0114,"Use the product rule together with the chain rule to find the derivative of sin(x^2) cos(3x) with respect to x, and state which rule is applied to each factor.",CALCULUS,derivatives,en,synthetic,der_product_trig_chain_01,pending
calc_0115,"Compute the derivative of f(x) = ln(sqrt(x^2 + 1)).",CALCULUS,derivatives,en,synthetic,der_log_of_root_01,pending
calc_0116,"Find f'(x) if f(x) = e^x/(1 + x^2).",CALCULUS,derivatives,en,synthetic,der_quotient_exponential_01,pending
calc_0117,"Use the chain rule to differentiate arctan(2x) with respect to x, and simplify the result to a single rational function.",CALCULUS,derivatives,en,synthetic,der_arctan_chain_01,pending
calc_0118,"Differentiate g(t) = t^(3/2) - 4t^(-1/2) + 7.",CALCULUS,derivatives,en,synthetic,der_fractional_powers_01,pending
calc_0119,"Find y' for y = tan(x)/x^2 on the interval 0 < x < π/2, and simplify your answer so that only sec^2(x) and tan(x) appear.",CALCULUS,derivatives,en,synthetic,der_quotient_tangent_01,pending
calc_0120,"The equation sin(xy) = x + y defines y implicitly as a function of x near suitable points. Use implicit differentiation to find a formula for dy/dx in terms of x and y.",CALCULUS,derivatives,en,synthetic,der_implicit_sine_01,pending
calc_0121,"Find the slope of the tangent line to the curve x^3 + y^3 = 6xy at the point (3, 3).",CALCULUS,derivatives,en,synthetic,der_implicit_folium_01,pending
calc_0122,"Find the derivative of f(x) = (x^2 + 1)^(sin(x)) using logarithmic differentiation.",CALCULUS,derivatives,en,synthetic,der_logarithmic_variable_exponent_01,pending
calc_0123,"Successive derivatives of sin(2x) follow a repeating pattern with growing constant factors. Use this pattern to find the 50th derivative of f(x) = sin(2x).",CALCULUS,derivatives,en,synthetic,der_high_order_sine_01,pending
calc_0124,"Let f(x) = x^2 g(x), where g is differentiable with g(2) = 3 and g'(2) = -1. Find f'(2).",CALCULUS,derivatives,en,synthetic,der_product_given_values_01,pending
calc_0125,"Suppose h(x) = f(g(x)), where g(1) = 2, g'(1) = 4, f(2) = 5, and f'(2) = -3. Find h'(1).",CALCULUS,derivatives,en,synthetic,der_chain_given_values_01,pending
calc_0126,"Show that f(x) = x^3 + x has an inverse function, and find (f^(-1))'(2).",CALCULUS,derivatives,en,synthetic,der_inverse_function_derivative_01,pending
calc_0127,"Let F(x) be the accumulated area F(x) = ∫_1^{x^2} sqrt(1 + t^3) dt. Use the Fundamental Theorem of Calculus together with the chain rule to find F'(x) without evaluating the integral.",CALCULUS,derivatives,en,synthetic,der_ftc_with_chain_01,pending
calc_0128,"With cosh(x) = (e^x + e^(-x))/2 and sinh(x) = (e^x - e^(-x))/2, show that d/dx cosh(x) = sinh(x) and d/dx sinh(x) = cosh(x).",CALCULUS,derivatives,en,synthetic,der_hyperbolic_functions_01,pending
calc_0129,"Use the limit definition of the derivative to compute f'(4) for f(x) = sqrt(x).",CALCULUS,derivatives,en,synthetic,der_definition_sqrt_point_01,pending
calc_0130,"Is f(x) = |x - 2| differentiable at x = 2? Justify your answer.",CALCULUS,derivatives,en,synthetic,der_absolute_value_corner_01,pending
calc_0131,"Let f(x) = x^2 sin(1/x) for x ≠ 0 and f(0) = 0. Is f differentiable at 0? Is f' continuous at 0?",CALCULUS,derivatives,en,synthetic,der_x_squared_sin_reciprocal_01,pending
calc_0132,"Find the equation of the normal line to the curve y = x ln(x) at the point where x = e.",CALCULUS,derivatives,en,synthetic,der_normal_line_01,pending
calc_0133,"A particle moves along a line with position s(t) = t^3 - 6t^2 + 9t + 2 meters at time t seconds. Find its velocity and acceleration at t = 4, and determine the times at which it is momentarily at rest.",CALCULUS,derivatives,en,synthetic,der_particle_motion_01,pending
calc_0134,"The number of bacteria in a culture after t hours is P(t) = 500e^(0.3t). At what rate is the population growing after 5 hours, and what is the relative growth rate P'(t)/P(t)?",CALCULUS,derivatives,en,synthetic,der_population_growth_rate_01,pending
calc_0135,"The cost of producing x units of a product is C(x) = 1000 + 20x + 0.01x^2 dollars. Find the marginal cost C'(100) and compare it with the actual extra cost of producing the 101st unit.",CALCULUS,derivatives,en,synthetic,der_marginal_cost_compare_01,pending
calc_0136,"Find all points on the graph of y = x^3 - 3x^2 - 9x + 5 at which the tangent line is horizontal.",CALCULUS,derivatives,en,synthetic,der_horizontal_tangents_01,pending
calc_0137,"Find a point on the parabola y = x^2 at which the tangent line is parallel to the line 4x - y = 7.",CALCULUS,derivatives,en,synthetic,der_parallel_tangent_01,pending
calc_0138,"Prove the product rule: if f and g are differentiable at x, then (fg)'(x) = f'(x)g(x) + f(x)g'(x).",CALCULUS,derivatives,en,synthetic,der_product_rule_proof_01,pending
calc_0139,"Compute the first three derivatives of f(x) = x^4 ln(x) for x > 0, and write the third derivative in simplest form.",CALCULUS,derivatives,en,synthetic,der_third_derivative_log_01,pending
calc_0140,"Find the derivative of f(x) = sqrt(x + sqrt(x)) for x > 0, applying the chain rule twice, and simplify the result.",CALCULUS,derivatives,en,synthetic,der_nested_root_01,pending
calc_0141,"A particle moves along the curve given by x = t^2 + 1 and y = t^3 - 3t. Find the slope dy/dx of its path at the moment t = 2, and write the equation of the tangent line there.",CALCULUS,derivatives,en,synthetic,der_parametric_first_01,pending
calc_0142,"For the parametric curve x = 2t + 1, y = t^3, use the formula for d^2y/dx^2 in terms of derivatives with respect to t to decide whether the curve is concave up or down at t = 1.",CALCULUS,derivatives,en,synthetic,der_parametric_second_01,pending
calc_0143,"The cost of a data structure is modeled by f(x) = log_2(x^2 + 1). Find f'(x), using the change-of-base formula or the derivative of a logarithm in base 2.",CALCULUS,derivatives,en,synthetic,der_log_base_two_01,pending
calc_0144,"Suppose f'(x) = x^2 for all real x and f(0) = 1. Without finding f, compute the derivative of g(x) = f(x^2) at x = 1.",CALCULUS,derivatives,en,synthetic,der_chain_given_derivative_01,pending
calc_0145,"Differentiate f(x) = ln|sec(x) + tan(x)| for -π/2 < x < π/2.",CALCULUS,derivatives,en,synthetic,der_log_sec_tan_01,pending
calc_0146,"A farmer has 240 meters of fencing and wants to enclose a rectangular pasture along a straight river. The side along the river needs no fence. What is the largest area the pasture can have?",CALCULUS,derivative_applications,en,synthetic,opt_fencing_river_01,pending
calc_0147,"A sensor is placed at the point (4, 0), and a cable must be attached to the curve y = sqrt(x). Find the point of the curve closest to the sensor by minimizing the squared distance.",CALCULUS,derivative_applications,en,synthetic,opt_closest_point_curve_01,pending
calc_0148,"A closed cylindrical can must hold exactly 1000 cubic centimeters. Find the radius and height that minimize the total amount of metal used for the can.",CALCULUS,derivative_applications,en,synthetic,opt_cylinder_can_01,pending
calc_0149,"A rectangle is inscribed in a semicircle of radius 5 with one side lying along the diameter. What is the largest possible area of such a rectangle?",CALCULUS,derivative_applications,en,synthetic,opt_rectangle_in_semicircle_01,pending
calc_0150,"A window is shaped like a rectangle topped by a semicircle whose diameter equals the width of the rectangle. If the perimeter of the window is 12 meters, what dimensions give the greatest area?",CALCULUS,derivative_applications,en,synthetic,opt_norman_window_01,pending
calc_0151,"The revenue from selling x units of a product is R(x) = 50x - 0.02x^2 dollars, and the cost of producing them is C(x) = 10x + 2000 dollars. How many units should be sold to maximize profit?",CALCULUS,derivative_applications,en,synthetic,opt_profit_quadratic_01,pending
calc_0152,"A spherical snowball melts in such a way that its surface area decreases at a constant rate of 2 cm^2 per minute. How fast is its radius decreasing when the radius is 4 cm?",CALCULUS,derivative_applications,en,synthetic,rr_melting_snowball_01,pending
calc_0153,"Two cars leave the same point at the same time, one heading north at 60 km/h and the other heading east at 80 km/h. How fast is the distance between them increasing after 2 hours?",CALCULUS,derivative_applications,en,synthetic,rr_two_cars_distance_01,pending
